id,LOAN,MORTDUE,VALUE,REASON,JOB,YOJ,DEROG,DELINQ,CLAGE,NINQ,CLNO,DEBTINC
93,15300,78375,108175,HomeImp,Other,6,1,0,82.10483648,0,20,22.50324916
94,11000,83639,98081,DebtCon,Other,10,0,0,155.3712203,4,22,42.53968571
95,9800,52973,65481,HomeImp,Other,10,0,0,101.4726677,2,33,36.878297
96,11000,66400,81500,DebtCon,Other,9.5,0,0,215.0666667,0,65,
97,17800,107736,113100,DebtCon,Other,1,0,0,135.1232249,2,20,38.93711224
98,22200,102345,148299,HomeImp,ProfExe,11,0,0,169.088974,0,22,34.47287973
99,20000,143000,185625,DebtCon,Office,1.5,2,3,73.03333333,2,11,
100,26300,,51055,DebtCon,Other,,,,70.25339459,,14,28.20743574
101,18900,154563,198790,DebtCon,Other,7,0,0,,1,15,29.47261446
102,10000,27000,54300,HomeImp,Other,0.3,0,1,91.13333333,0,6,
103,30300,,52545,,,1,1,3,187.7221845,10,15,2.594364447
104,19200,32417,97000,HomeImp,Other,6,0,0,130.8666667,0,15,
105,11200,153103,181849,HomeImp,Office,6,0,0,186.249507,0,55,33.99556536
106,10600,58701,67967,DebtCon,Mgr,10,0,0,116.5322893,1,19,31.54021826
107,11500,21096,38952,DebtCon,Office,13,0,0,129.7,0,5,
108,16300,49868,76131,DebtCon,Other,9,0,0,81.2741558,2,9,40.37255654
109,2400,,17180,HomeImp,Other,,0,0,14.56666667,3,4,
110,7200,15637,39660,HomeImp,Self,6,0,1,354.2397634,3,42,33.62413345
111,17200,35116,60489,DebtCon,Other,17,0,0,106.486237,1,18,38.80624071
112,13600,89937,110986,DebtCon,Sales,14,,2,146.7187425,1,17,33.74711583
113,5700,62319,82923,HomeImp,Other,4,0,0,117.6739652,0,15,42.46486629
114,14900,70872,88731,DebtCon,Other,4,0,0,243.9979348,3,26,29.04802062
115,12500,55000,75393,DebtCon,Other,0.75,0,1,113.0333333,1,16,
116,20000,,26507,DebtCon,ProfExe,7,0,0,92.42667382,1,19,20.68374038
117,14000,42767,60950,DebtCon,Other,7,0,1,117.6666667,3,49,
118,5000,100882,102700,HomeImp,Mgr,5,0,1,58.86666667,0,16,
119,40000,53543,,DebtCon,Other,3.5,1,8,159.3,2,39,
120,21000,110000,138000,DebtCon,Mgr,16,8,2,154.2,3,30,
121,32300,167000,221100,DebtCon,Mgr,4,0,0,185.7,3,21,
122,14700,94672,,,Other,14,0,1,67.03803191,0,11,40.31743443
123,15500,97596,119326,DebtCon,Office,0,,3,254.7077326,1,30,40.98730093
124,20000,72000,103000,DebtCon,ProfExe,0.5,0,0,174.3,3,23,
125,18000,48724,72654,DebtCon,Other,7,0,0,62.08860596,0,4,31.57029892
126,23500,147696,118200,,ProfExe,4,0,0,103.6727859,2,34,30.36171141
127,2400,34863,47471,HomeImp,Mgr,12,0,0,70.49108003,1,21,38.26360073
128,18900,51075,78045,DebtCon,Office,2,1,5,74.09119603,1,15,42.1982822
129,33000,104422,152298,DebtCon,Other,15,0,0,227.6777656,0,40,42.2817024
130,6900,57257,63752,DebtCon,Other,10,2,0,138.234778,0,22,38.37246088
131,17500,68000,133015,DebtCon,Office,19,1,1,177.5,5,21,
132,43300,,53434,DebtCon,Other,,5,,113.7376908,,20,29.61653289
133,23400,35634,61149,DebtCon,Other,,0,0,204.6427862,0,13,41.11515894
134,15000,166000,182175,DebtCon,,3.5,4,0,74.06666667,2,14,
135,12100,44484,64398,DebtCon,Other,3,0,0,263.0447041,0,20,28.80398255
136,12600,62493,77141,,Other,13,0,0,266.3331014,0,26,27.0078722
137,50600,178073,255435,DebtCon,ProfExe,5,0,0,238.1770546,1,33,37.50148945
138,15500,96426,122322,DebtCon,Office,12,0,0,226.2845243,0,12,40.86810919
139,6000,24600,30500,HomeImp,Other,4.5,0,1,116.1,8,34,
140,10000,,25010,HomeImp,Self,5,0,3,326.1333333,4,17,
141,17000,61000,127000,DebtCon,Mgr,9,0,5,256.7,0,40,
142,5500,43486,81600,DebtCon,,4,0,0,216.1333333,4,30,
143,69000,197587,295551,DebtCon,Self,10,0,0,211.7763912,3,24,30.35685652
144,47000,159500,230000,DebtCon,Office,3,0,0,,0,0,
145,35800,93309,137370,DebtCon,Other,12,0,0,70.02470469,0,36,41.86164685
146,16800,58193,82942,DebtCon,Other,1,0,0,320.0630097,3,16,42.84596286
147,11800,98877,110250,DebtCon,Other,18,0,2,195.8629168,1,16,36.87169942
148,50000,30338,,DebtCon,Mgr,8,0,0,91.43100485,0,5,35.08400094
149,7400,2063,100448,HomeImp,Other,,0,0,96.13333333,0,14,
150,27400,23939,56874,DebtCon,Office,3,0,1,197.8,0,11,
151,23000,58577,69327,,Other,4,0,2,110.4144797,2,33,133.5282704
152,23400,89427,106590,HomeImp,,6,,,,,,29.37165152
153,18700,47903,63933,HomeImp,Office,3,0,0,120.4180419,1,17,32.97759665
154,32000,33148,69965,DebtCon,ProfExe,13,2,4,112.5108654,3,27,36.02150867
155,16200,46115,61917,HomeImp,Other,2,0,0,259.3606975,0,47,43.71749944
156,19300,98769,121140,HomeImp,Mgr,0,0,1,313.9245154,0,20,43.08554305
157,27900,137006,207997,HomeImp,ProfExe,5,0,0,194.0931469,1,28,36.90607516
158,8000,65000,93600,DebtCon,Other,16,,,140.0666667,4,16,
159,18500,102472,115719,DebtCon,ProfExe,0,0,0,120.0902646,0,30,34.24344096
160,7500,18400,29375,DebtCon,Other,6,1,0,147.1,0,9,
161,7000,19894,32500,DebtCon,Other,4,0,0,134.7,1,16,
162,16200,23466,206368,DebtCon,Mgr,9,7,3,141.0274265,10,41,32.36849777
163,20100,16755,29412,HomeImp,Other,3,1,0,62.0501108,2,21,58.1321829
164,10000,59929,,DebtCon,Other,5,,,,,,
165,7000,,96783,HomeImp,Other,20,,,,,,40.73031534
166,28200,58232,97555,DebtCon,Other,17,0,1,130.4507649,0,29,38.0927303
167,27700,85285,116468,DebtCon,Other,9,0,0,312.8079284,0,36,35.96802437
168,22500,,143254,,,,,,,,,
169,9100,78369,92000,DebtCon,Sales,0.2,0,0,180.8333333,3,35,
170,17800,137169,182280,DebtCon,Mgr,12,0,0,241.3753071,0,21,28.84644812
171,10600,28264,86546,HomeImp,ProfExe,20,0,0,244.140509,0,11,24.20235008
172,44000,68600,125000,DebtCon,Self,5,0,2,92.3,0,23,
173,13700,84996,112522,HomeImp,ProfExe,9,0,1,171.9534106,0,28,32.84350491
174,43500,,855909,HomeImp,Other,16,0,0,196.4036364,0,23,42.98540838
175,14000,59736,97411,DebtCon,ProfExe,7,0,0,200.1553656,1,19,20.11698203
176,20400,38267,68684,DebtCon,Office,12,0,1,121.4533629,0,22,42.20643322
177,20700,107766,146937,DebtCon,Office,12,0,2,223.1378975,0,24,42.54727476
178,8000,47823,63000,DebtCon,Other,5,0,0,53.66666667,2,18,
179,26000,119553,158687,DebtCon,Mgr,5,0,0,290.7585045,0,24,36.97751891
180,26400,220432,283978,HomeImp,ProfExe,6,,5,480.3560137,,56,33.7142391
181,13400,111000,131000,DebtCon,ProfExe,14,0,0,165.3333333,2,26,
182,15700,53443,77704,DebtCon,Office,2,0,5,73.08753889,0,16,45.19549587
183,25900,42105,73249,DebtCon,Other,2,0,0,109.2111561,3,22,31.80908592
184,8100,69047,82113,DebtCon,Sales,3,0,0,121.4111489,0,30,35.07391836
185,16100,41379,57862,DebtCon,Other,17,0,0,282.0062894,0,21,30.7084874
186,9600,45158,55455,DebtCon,Other,15,0,0,82.71313688,0,12,30.931518
187,15200,96341,118734,DebtCon,Other,1,1,,90.7327804,1,26,39.14005597
188,2900,103949,112505,HomeImp,Office,1,0,0,96.10232967,0,13,30.05113629
189,10400,11426,69294,DebtCon,ProfExe,20,0,1,396.9262645,1,11,20.29198894
190,5000,34200,50830,HomeImp,Other,6,0,0,57,1,9,
191,41700,59889,109250,DebtCon,Mgr,16,0,0,187.1328108,0,22,36.96881444
192,14400,79288,92391,DebtCon,ProfExe,8,0,1,341.5015591,,41,39.4354969
193,4000,66000,79050,HomeImp,Other,1.8,2,0,279,1,6,
194,10900,22513,52355,HomeImp,Other,1,0,0,248.5834087,0,10,39.20462501
195,22600,155056,187000,DebtCon,Mgr,0.1,0,0,253.6,0,27,
196,13000,177000,200000,DebtCon,Mgr,3,0,2,195.8333333,1,50,
197,15000,71269,97500,DebtCon,Other,9,0,0,118.1666667,1,19,
198,10700,122000,148000,DebtCon,ProfExe,0.7,0,0,165.3333333,7,29,
199,19500,47000,70000,DebtCon,Mgr,15,0,0,220.1666667,5,21,
200,12000,15231,42845.01,DebtCon,Office,6.5,0,1,65.96666667,2,18,
201,18200,57980,79265,DebtCon,Other,16,0,0,194.0542928,0,20,37.72576061
202,3200,27200,40834,HomeImp,Other,,0,0,298.131564,0,7,35.55353879
203,14000,49207,70525,DebtCon,Office,3,3,3,205.9666667,2,51,
204,13000,34000,65000,HomeImp,Other,4.5,0,1,148.5,2,24,
205,24800,37200,67000,DebtCon,Other,10,1,8,242.4666667,4,23,
206,12500,53354,79893,HomeImp,Office,10,2,0,249.4359543,1,29,35.02088579
207,17200,43996,79419,DebtCon,Mgr,5,0,0,140.973401,0,9,28.6621734
208,20300,153896,200279,DebtCon,Other,7,0,0,,2,16,29.07518765
209,24200,121000,162900,DebtCon,Self,13,1,1,151.9333333,1,35,
210,16700,54079,112463,HomeImp,Office,1,,3,134.9257138,1,23,37.03395439
211,6000,69876,94394.07,HomeImp,Other,0,0,1,179.5666667,0,32,
212,5500,,66251,HomeImp,Office,1,0,0,43.72233695,0,3,41.45204353
213,8500,73752,87931,DebtCon,Mgr,21,1,1,291.6203784,0,24,39.00314063
214,10000,99600,125500,DebtCon,Office,8,0,0,80.1,3,21,
215,17000,66894,75360,DebtCon,,8,,,,,,25.26009868
216,7100,54000,74800,DebtCon,Mgr,7.5,1,1,71,4,18,
217,28100,86778,110851,DebtCon,Office,9,0,0,398.4023372,0,44,41.04058878
218,21700,69000,98000,DebtCon,Mgr,2,,,232.0666667,5,24,
219,25000,75110,114208,DebtCon,Mgr,3,2,0,83.05264747,1,27,45.74394906
220,9900,88236,104953,DebtCon,ProfExe,1,0,0,51.64870524,0,2,28.62263209
221,8600,61468,72143,DebtCon,,19,0,0,163.2988599,0,11,31.92576655
222,15300,62094,96938,,ProfExe,9,0,0,,0,15,25.40714251
223,40800,12064,66193,HomeImp,Office,,0,0,305.786099,0,18,12.93568769
224,14200,60570,74648,DebtCon,ProfExe,2,0,0,137.8411053,2,35,40.2897613
225,50000,106000,,DebtCon,Mgr,0.8,0,2,252.6333333,3,32,
226,25600,78441,128814,DebtCon,Office,2,0,0,310.5000998,1,24,38.73864962
227,12500,56960,69014,DebtCon,Other,4,0,0,307.636664,0,10,30.36248382
228,23400,91165,99564,HomeImp,,8,,,,,,28.97862141
229,22400,72866,95734,DebtCon,Mgr,5,0,0,75.95573527,7,23,37.50722389
230,8600,36933,42289,DebtCon,Mgr,4,0,0,100.6164211,2,26,38.43649009
231,11100,68784,85464,,ProfExe,2,0,0,117.9983043,0,14,36.04425176
232,9000,43881,56000,DebtCon,Other,5,0,3,73.03333333,3,28,
233,22200,,60904,DebtCon,Other,,0,0,288.4596954,0,18,37.74701961
234,4000,45000,58350,HomeImp,Mgr,3.5,0,0,162,3,16,
235,20000,,64928.84,HomeImp,Office,8,0,0,122.6666667,2,5,
236,20600,67086,108006,DebtCon,Office,6,,1,116.3286575,2,18,36.96632523
237,8500,30077,42770,DebtCon,Office,0.25,0,0,89.26666667,0,10,
238,42000,140000,,DebtCon,ProfExe,25,2,1,311.4333333,1,15,
239,25100,24205,54464,DebtCon,Other,25,0,0,116.4407697,0,11,22.45936936
240,7200,54600,65000,DebtCon,Other,14,2,1,98.43333333,11,9,
241,26000,79714,,DebtCon,ProfExe,1,0,4,125.7666667,0,23,
242,20800,70758,,DebtCon,Other,0,4,2,107.5333333,3,19,
243,17200,103519,118074,DebtCon,Other,0,0,0,102.6786125,1,21,41.41835285
244,15600,75701,106389,DebtCon,ProfExe,0,0,0,278.6803944,2,21,40.10825906
245,16500,67619,93500,HomeImp,ProfExe,8,0,0,82.16666667,0,16,
246,10500,47483,53877,DebtCon,,9,0,0,117.0523947,0,26,21.44628171
247,20800,,74486,DebtCon,Sales,6,0,0,407.5856237,0,24,22.16287266
248,9400,61213,70800,HomeImp,Other,5,0,0,75.86265973,3,20,39.40381239
249,24400,109253,158257,DebtCon,Mgr,17,0,0,193.9652872,0,25,34.59449254
250,13300,81944,108768,DebtCon,Other,5,0,0,81.10679915,1,13,33.86964175
251,29800,134560,187551,DebtCon,ProfExe,1,0,0,225.0922987,1,19,39.21193749
252,22800,129697,167475,DebtCon,ProfExe,5,0,1,202.6038029,1,18,22.04393384
253,27700,77886,114494,DebtCon,ProfExe,9,0,0,118.4713538,0,18,28.34407839
254,8600,124810,176581,DebtCon,Other,8,0,0,213.3028848,1,19,32.87645851
255,13200,65372,81426,DebtCon,Other,4,,1,102.6208363,3,29,38.93416913
256,10700,51224,70399,DebtCon,Mgr,5,,,110.6774417,,23,42.93929441
257,11100,52029,71376,HomeImp,Other,4,0,1,250.2521648,2,16,38.48364845
258,5000,6000,38575,HomeImp,Self,7,0,1,335.0333333,3,42,
259,36000,204292,268436,DebtCon,ProfExe,3,0,0,243.2954303,0,31,30.93897745
260,22900,161754,193666,DebtCon,Mgr,2,0,0,260.251081,0,27,30.27892939
261,9500,50400,63000,DebtCon,Other,1,0,0,91.26666667,8,22,
262,33600,87451,131949,DebtCon,Mgr,30,0,0,342.4680597,0,20,40.89238843
263,25700,32613,63065,DebtCon,Other,0,0,0,218.4852751,0,22,41.21010704
264,10800,56477,94980,HomeImp,Other,17,0,0,179.9173626,0,28,25.21073966
265,7800,42802,52422,HomeImp,Office,8,,,193.0814529,,18,26.49587929
266,39000,3372,41500,HomeImp,ProfExe,4.3,0,0,326.6666667,6,15,
267,2100,71000,83850,HomeImp,Other,8,0,1,123,0,16,
268,15000,86000,,DebtCon,Mgr,1,0,0,63.7,1,27,
269,63300,202000,281000,DebtCon,ProfExe,2,0,0,99.43333333,2,21,
270,19100,129111,197592,HomeImp,ProfExe,12,0,0,207.1551738,0,21,36.14177784
271,16100,,30695,HomeImp,Other,11,0,1,64.33574112,2,2,29.23301484
272,8700,58060,65605,DebtCon,Other,23,0,0,259.6838134,3,29,39.82999947
273,12000,76345,89036,HomeImp,Other,8,0,0,91.97034976,1,19,50.17306503
274,28200,185607,227617,DebtCon,ProfExe,0,0,0,311.0627554,0,33,42.435285
275,33200,36705,78040,DebtCon,Mgr,19,2,0,120.090143,0,13,35.01574872
276,34100,138523,196555,DebtCon,ProfExe,21,0,0,185.0054347,1,22,38.8960395
277,40000,4742,,DebtCon,Mgr,5,7,1,304.3666667,6,21,
278,2200,90957,102600,HomeImp,Mgr,7,2,6,122.9,1,22,
279,22300,89591,149566,DebtCon,ProfExe,23,0,0,157.6517299,0,24,41.85930497
280,20500,113963,131135,HomeImp,Self,3,1,0,243.6806039,1,26,143.949605
281,10000,42300,,DebtCon,Mgr,11,1,0,31.4,3,5,
282,3300,126541,134527,HomeImp,Sales,9,1,0,139,0,36,
283,15500,52051,88200,DebtCon,Office,30,0,0,211.0666667,0,22,
284,3100,39589,36100,HomeImp,Other,1.5,0,0,153.1666667,1,14,
285,13000,60000,86400,DebtCon,Other,12,0,2,149.1666667,0,28,
286,10600,62909,81411,HomeImp,Other,15,0,0,238.3144708,1,35,34.68038165
287,22200,98624,140938,DebtCon,ProfExe,,0,0,207.2889332,0,20,29.21889542
288,6700,55113,56486,HomeImp,Other,4,0,0,84.41703046,0,17,23.64285383
289,50100,48370,106233,HomeImp,Self,8,0,0,193.6509051,3,36,39.93534357
290,10400,62442,73197,DebtCon,ProfExe,8,0,0,47.61067763,1,24,38.88482776
291,6500,48000,61000,DebtCon,Other,1,1,0,97.2997561,6,38,
292,12300,69499,104045,DebtCon,Other,8,0,0,219.0904891,0,20,18.58475695
293,14000,64000,78000,,ProfExe,7.4,0,0,174.4333333,0,20,
294,7200,43705,50000,DebtCon,Other,9,0,2,235.3666667,6,16,
295,53600,235895,299772,HomeImp,Mgr,5,0,0,112.7482819,7,22,44.94592915
296,8800,,32221,DebtCon,Other,0,0,0,276.8419349,0,14,24.19867837
297,22400,93140,120977,DebtCon,Other,23,0,0,232.8554837,0,27,39.74431431
298,20500,53438,118731,DebtCon,ProfExe,14,0,0,258.5210694,0,20,26.14692719
299,36900,111151,155000,HomeImp,ProfExe,12,0,0,137.9666667,0,40,
300,6200,75121,96462,DebtCon,ProfExe,0,,,,,,27.16765596
301,25400,44800,78000,DebtCon,Other,21,0,0,211.0333333,1,27,
302,15100,39679,62674,DebtCon,,5,1,0,95.59910086,1,9,28.50559056
303,5700,,68591,HomeImp,Office,0,0,0,69.64566047,0,4,41.18503956
304,17400,79623,113658,DebtCon,Other,0,0,2,212.1291452,2,25,35.10671964
305,17900,70046,135917,DebtCon,Self,1,1,2,138.0110083,0,16,38.2892023
306,25000,122000,151200,DebtCon,Office,1,1,6,262.3333333,3,30,
307,12100,22000,38750,DebtCon,Other,0.8,0,0,167.4,1,17,
308,25000,117500,165000,DebtCon,ProfExe,17.5,0,3,239.4,1,27,
309,10600,47701,66500,DebtCon,Other,10,0,0,103.0142897,0,23,37.3100061
310,9400,52024,89107,HomeImp,Office,0,1,0,148.8447376,3,26,36.08003177
311,13700,58788,87260,DebtCon,Office,14,0,0,103.6928184,0,24,36.66531854
312,10600,43676,61576,DebtCon,Other,6,0,0,84.83912605,1,10,30.8681375
313,50100,,85756,HomeImp,Other,,0,0,348.7860099,0,6,23.21980601
314,3800,19135,97692,HomeImp,Mgr,1.6,1,6,252.6333333,1,25,
315,15000,42000,111351,DebtCon,Other,6,,6,225.6333333,0,17,
316,18600,64248,82690,DebtCon,Mgr,0,1,0,89.18900547,0,23,53.84821989
317,9300,79133,100033,DebtCon,Other,3,0,0,102.1630274,2,31,40.79463545
318,22900,,148018,,,,,,,,,15.93805779
319,14200,68750,88627,DebtCon,Other,10,0,1,219.6728008,0,32,34.6399614
320,81200,18834,108355,HomeImp,,28,0,0,139.136329,0,14,34.04215317
321,17000,36420,54375,DebtCon,Other,1,1,0,77.7,1,18,
322,13000,77355,114400,,,,,,,,,
323,11700,15163,74500,DebtCon,ProfExe,19,0,2,378.8258185,1,11,20.09078333
324,18000,63508,94991,DebtCon,Office,1,0,0,155.8847243,0,25,23.58566428
325,15800,104913,121214,DebtCon,ProfExe,2,0,0,134.0038302,0,21,44.91516055
326,23000,,46846,DebtCon,Other,,,,77.55320305,,13,25.61429467
327,12300,11300,39000,,Other,,5,1,170.4333333,3,21,
328,24800,43287,72898,DebtCon,Other,8,0,0,87.01103562,1,18,34.0310957
329,11100,53232,86703,HomeImp,Other,16,0,0,183.2062075,0,29,26.87488997
330,27700,35132,71456,DebtCon,Mgr,13,0,0,84.8749672,5,16,35.65073032
331,5000,70470,77908,DebtCon,,5,,,,,,
332,17000,12613,85000,DebtCon,Other,21,0,0,226.3666667,3,41,
333,21900,52735,75372,DebtCon,ProfExe,5,0,1,217.0209402,6,23,34.01591498
334,20000,59964,100000,DebtCon,Office,8,,1,106.8333333,2,18,
335,8200,101230,120087,HomeImp,Other,9,,,419.2729655,1,49,40.55827149
336,34300,118911,168901,DebtCon,ProfExe,16,0,0,134.7340235,0,17,28.81751546
337,16500,143404,165267,DebtCon,Mgr,14,0,1,169.7373629,1,31,36.178122
338,20900,66575,79416,DebtCon,ProfExe,13,2,1,107.2695126,7,28,28.38233702
339,10700,29569,47842,DebtCon,Other,12,,1,144.8171746,7,28,36.78458201
340,28600,126189,167157,DebtCon,ProfExe,19,0,2,239.2270359,0,26,31.01274893
341,40400,83786,131000,DebtCon,Office,34,,13,210.6,3,36,
342,16400,71264,94726,DebtCon,Other,1,0,0,177.2573424,1,31,35.03448136
343,12800,71531,87256,HomeImp,Office,26,0,0,167.1637357,1,14,40.37613759
344,37400,96798,145550,DebtCon,Other,12,0,0,63.90167695,1,35,40.59485173
345,15000,4734,55500,HomeImp,Other,24,2,0,14.6,1,1,
346,12300,90006,121122,DebtCon,Office,9,0,0,133.4975408,1,21,36.91048167
