ID,Salary,Job Description
21,,"In December 2018, Mayor de Blasio and New York City Housing Authority (NYCHA) released NYCHA 2.0, a comprehensive plan to fix and preserve public housing.  NYCHAâ€™s Real Estate Development Department (REDD) is charged with leading and structuring real estate transactions that will address over $15 billion in capital needs.  REDD will utilize the following three tools to generate the necessary revenue:  1)	Permanent Affordability Commitment Together (PACT) â€“ PACT will use U.S. Department of Housing and Urban Development (HUD) Section 8 programs to fund renovations and convert public housing (Section 9) apartments to permanently affordable housing.  NYCHA plans to convert 62,000 apartments over 10 years, which will address $12.8 billion of capital needs.  2)	Build to Preserve (BTP) â€“ New mixed-income buildings will be constructed on some underutilized spaces across the NYCHA portfolio.  NYCHA expects to address $2 billion in capital need across approximately 10,000 apartments.  3)	Transfer to Preserve (TTP) â€“ NYCHA will sell a portion of its estimated 80 million square feet of unused development rights (â€œair rightsâ€) to adjacent privately-owned sites.  TTP will generate $1 billion for capital repairs at adjacent developments.  Under the direction of the Senior Vice President for Real Estate, the Vice President, Transactions will be responsible for supervising a team of real estate finance and affordable housing development professionals on project central to achieving the goals of NYCHA 2.0 and other NYCHA programmatic objectives.  The Vice President will lead projects from inception to closing by directing the financial analysis on a projectâ€™s feasibility, managing negotiations on land leases, PACT conversions, and air rights with developers, overseeing project management and progress, establishing and maintaining relationships with residents, community groups and elected officials.  The ideal candidate has real estate industry experience and has a strong track record of closing deals.  Candidates having experience with New York City development projects and affordable housing finance are preferred.  In addition to playing a leadership role in executing NYCHA 2.0, the Vice President will also work on projects under NYCHAâ€™s 100% Affordable Housing Program.  The program aims to build 10,000 units of affordable housing on underused NYCHA-owned land.   The key responsibilities for this position include, but are not limited to the following:   â€¢	Supervise and provide direction on all aspects of real estate project management and land lease negotiations and conduct transaction negotiations to maximize return to NYCHA. â€¢	Display strong understanding of real estate development practices, preferably specific to New York City and affordable housing finance. â€¢	Establish short and long-term project goals and time frames and review all relevant project documents. â€¢	Present projects to executive staff, boards and City officials. â€¢	Identify new projects and/or development opportunities for NYCHA. â€¢	Build and maintain relationships with governmental and quasi-governmental agencies, real estate developers and business groups, consultants, civic and community stakeholders, and cultural and professional organizations. â€¢	Demonstrate managerial experience/ability with specific focus on ability to lead and motivate teams to set and meet goals, expectations and deadlines with limited oversight. â€¢	Mentor and cultivate junior staff knowledge and skills development. â€¢	Possess a strong sense of professional judgment and ability to solve problems creatively. â€¢	Exhibit leadership abilities, including interpersonal, communication and public speaking skills and a strong sense of personal accountability to ensure project completion.  NOTE: This position is open to qualified persons with a disability who are eligible for the 55-a Program. Please indicate in your cover letter that you would like to be considered for the position under the 55-a Program.  For detailed information regarding the 55-a Program, please visit the following link: http://www.nyc.gov/html/dcas/downloads/pdf/psb/100_1.pdf   Please read this posting carefully to make certain you meet the minimum qualification requirements before applying to this position."
22,,"The New York City Housing Authority (NYCHA) is the nationâ€™s largest public housing authority, with an operating budget of $3.3 billion and approximately 10,600 employees who manage and maintain 326 developments that house over 400,000 residents. NYCHA also operates the countryâ€™s largest Section 8 program, which provides rental assistance to over 200,000 additional families.   NYCHA is standing a new Unit reporting directly to the General Manager (or COO), in charge of performing the operational side of environmental hazard compliance. The first division to launch is the Lead-Based Paint Reduction division. Reporting to the Deputy Director of the Lead-Based Paint Division in the Healthy Homes Unit (HHU) will be responsible for the overall management and administration of all lead-based paint operations at NYCHA. This includes but is not limited to, annual visual assessments, biennial re-evaluations, elevated blood lead level response, lead safe work practices, lead paint abatement, and training and certification, all in accordance with the US Department of Housing and Urban Development (HUD) Lead Safe Housing Rule et seq., the HUD Guidelines for the Evaluation and Control of Lead-Based Paint Hazards in Housing issued pursuant to Section 1017 of the Residential Lead-Based Paint Hazard Reduction Act of 1992 (Title X), and the New York City Childhood Lead Poisoning Prevention Act of 2003 et seq. Responsibilities include, but are not limited to the following:  1.	Manage lower level Construction Project Managers. 2.	Monitor vendor field work on visual inspection and paint correction in units, common areas and exteriors to ensure effective, compliant procedures are used by vendors and act as vendor supervisor to help solve issues that might arise in the developments throughout the five boroughs. 3.	Work with the development coordinator and development staff, reports on vendor work completed. 4.	Use wireless handheld computer device to support the different task when relevant. 5.	Escalate issues to the Assistant Director on progress at developments and help solve recurring problems that occur. 6.	Support Quality assurance inspections at assigned NYCHA public housing developments.  NOTE: This position is open to qualified persons with a disability who are eligible for the 55-a Program. Please indicate in your cover letter that you would like to be considered for the position under the 55-a Program. For detailed information regarding the 55-a Program, please click on the following link: http://www.nyc.gov/html/dcas/downloads/pdf/psb/100_1.pdf  Please read this posting carefully to make certain you meet the qualification requirements before applying to this position."
23,,"Only candidates who are permanent in the City Planner title or those who are reachable on the current Open-Competitive list (Exam #6067) may apply. Please include a copy of your Notice of Result card or indicate if you are already permanent in the title. Failure to do so will result in your disqualification.   The NYC Department of Design and Construction, Division of Public Buildings seeks a Building Information Modeling (BIM) Manager. The selected candidate will be responsible for researching and advising senior management on BIM best practices for owners and Architecture/Engineering/Construction professionals; advising the best use of available BIM and BIM-related-software tools; developing and maintaining agency standard BIM execution plan templates, manuals and BIM deliverable standards; developing and implementing training/ mentoring for employees, consultants and construction managers (CMs); and participating in agency project intake reviews and advising on project suitability for BIM utilization. Other key responsibilities include: reviewing and approving project-specific consultant and CM BIM execution plans; assisting consultants, CM's and Agency technical reviewers with the setup (including rule-creation); running and interpretation of BIM clash detection reports; reviewing and approving consultant and CM milestone BIM deliverables for compliance with approved BIM execution plan and applicable agency standards; establishing agency BIM archiving standards and archiving infrastructure in consultation with senior management and agency IT team. In addition, the BIM Manager will work with the IT team on implementation of BIM integration with the Agency's project management systems; review, approve, and upload final as-built, archive-ready models; coordinate BIM archive with Agency GIS team; and develop/implement process for geo-mapping of BIM models; management of licenses and renewals for a series of cloud-based software used within the Architecture and Engineering unit."
24,,"Civil Service Title:  Supervisor of Motor Transport 					 Level:  I  Title Code No: 91279  					 Salary: $49,008 New Hire  $55,379 Incumbent Office Title:  Supervisor of Motor Transport						 Work Location: Citywide  Division/Work Unit:  Forensic Operations/Logistics, Transportation & Fleet Operations 	 Number of Positions: 1 Hours/Shift:  Forty hours over a seven day period; may work evenings and a weekends  JOB DESCRIPTION The core values of the OCME are to put the mission of the agency first, to be truly dedicated and to have integrity in every aspect of our professional life. The Supervisor of Motor Transport is responsible for maintaining equipment, systems and capabilities. The Supervisor of Motor Transport oversees motor vehicle transportation, supervisors and operators, while also participating in day to day motor vehicle operations. The selected candidate will be responsible for initiating requisitions, ensuring the receiving and maintaining the status of automotive servicing equipment, tolls passes and other fleet related material. The position has an administrative function related to the supervision of the Motor Transport division and also includes assisting the OCME Special Operations Logistics department in disaster training and management procedures and other practical work components such as participating in OCME fleet operations. Lastly, this staff manages the property records in the Citywide GTS system to maintain compliance with State and Federal Grant Guidance. The Supervisor of Motor Transport will be responsible for a wide range of activities, including, but not limited to, the following: â€¢	Assigns, trains, and supervises Motor Vehicle operator Supervisorsâ€™ and Operators. â€¢	Monitors the utilization of motor vehicles in order to initiate and maintain efficient scheduling of vehicle usage for pick-up and dispatching of OCME personnel and equipment. â€¢	Coordinates all documentation regarding Logistics, Transportation and Fleet Operations â€¢	Administers appropriate programs related to inspection, safety and safe driving, and proper vehicle and materials handling. â€¢	Investigates motor vehicle accidents and accidents to personnel, preparing accident reports and follow up documentation related to maintenance and mechanical issue response. â€¢	Keeps all equipment, tools and vehicles clean, functioning, and safeguarded in appropriate locations and ready for immediate deployment. â€¢	Responsible to research and design specifications for new equipment and process paperwork throughout the entire procurement process.  â€¢	Maintains all motor transport vehicles and equipment to include overseeing contractors and vendors performing services on vehicles and equipment.   â€¢	Maintains ETS / GTS equipment tracking software to manage and maintain motor transport inventory. â€¢	Provides logistic support for forensic-disaster response equipment during disaster response and training, and maintains competence in operation of all agency vehicles and machines. â€¢	Is available for 24/7 emergency response to incidents involving, or with the potential for, mass fatalities. â€¢	Maintains supply chain and assist with deployment of assets during an emergency. â€¢	Other duties as assigned."
25,,"The NYC Department of Environmental Protection (DEP) protects public health and the environment by supplying clean drinking water, collecting and treating wastewater, and reducing air, noise, and hazardous materials pollution. DEP is the largest combined municipal water and wastewater utility in the country, with nearly 6,000 employees. DEP delivers more than 1.1 billion gallons per day of the highest quality drinking water to 8.5 million NYC residents and more than 1 million people in Upstate New York, and has a wastewater conveyance and treatment system capable of processing over 1.3 billion gallons of wastewater per day to protect the environment and the cityâ€™s surrounding waterways.  The Bureau of Water & Sewer Operations (BWSO), Division of Operations Analysis & Regulatory Compliance, Catch Basin Inspections Unit is seeking to hire an Engineering Technician. The selected candidate for this position will perform various tasks that include, but are not limited to:  â€¢	Conducting field inspections, cross connection relay/repair, water and sewer plug inspections, and tests;  â€¢	Participate in field surveys and assist in the cleaning, maintenance, and field repair of instruments and tapes;  â€¢	Prepare drawings and sketches, perform mathematical calculations, and assisting in estimating costs, materials and labor requirements;  â€¢	Engage in research and investigations related to sewer and water main construction, operations, maintenance, and repairs;  â€¢	Assist in preparation of reports, memos, and correspondence;  â€¢	Maintain office records of drawings, plans, survey, and inspection data;  â€¢	Participate in inspection operations, checking and certifying the installation and performance of structures, materials, and equipment related to the cityâ€™s sewer and water main systems;  â€¢	Utilize databases and related applications for the analysis of data, generation of reports, and maintain detailed and accurate records;  â€¢	Operate a motor vehicle."
26,,"The Bureau of TB Control requests the job opening for one City Research Scientist L-I title position. The mission of the Bureau of Tuberculosis Control is to prevent the spread of tuberculosis and to eliminate it as a public health problem in New York City.  The goals to achieve this mission are twofold:  1) To identify all individuals with suspected or confirmed TB disease and ensure appropriate treatment; 2) ensure that individuals at high risk for progression from TB infection to TB disease are identified and treated for TB infection and do not develop TB disease.   DUTIES WILL INCLUDE BUT NOT BE LIMITED TO:   * Under the direction of the Office Director, coordinate and support priority projects to improve clinical services and public health initiatives.   * Draft reports, clinical and public Health policies, protocol, memos, and other documents related to field investigations, clinic operations, and the diagnosis and treatment of TB patients.   * Participate in educational outreach and TB testing events as needed.   * Maintain records, writes reports and prepares and conducts presentations.   * Respond to internal and external requests for data and information.   * Assist in the planning and implementation of special projects as needed.   * Analyze and review TB epidemiological and clinical information using data available in the TB registry, electronic medical record system, and other relevant databases to support programmatic.   activities including performance monitoring, program evaluation, and quality improvement measures.   * Provide technical review of policies and protocols to assess their impact on office operations.   * Perform QA of data, implement data cleaning measures, and work with staff to solve data entry issues.   * Assist with and conduct assigned research, investigations and analysis of specific problems.   * Present findings in meetings, conferences, and other venues."
27,,"Reporting to the Resource Area (RA) Data Entry Unit Team Leader, the Data Entry Specialist with some latitude for independent judgement and initiative provides support with administrative functions related to processing child care subsidy applications.   The duties and responsibilities of the Data Entry Specialist are: â€¢	Performs complex data entry into child subsidy-related databases of data from applications and recertifications â€¢	Coordinates, prepares and distributes appropriate communications to parents and programs â€¢	Performs electronic indexing and scanning of documents â€¢	Analyzes scanned documents for clarity and accuracy  â€¢	Responsible for retrieving case files from imaging system â€¢	Liaises with and provides information to the Central Intake Team and other RA unit staff â€¢	Provides technical assistance and support to child care programs in eligibility and enrollment issues  â€¢	Researches and reviews case and program information in the Automated Child Care Information System (ACCIS) â€¢	Responsible for preparing files to be stored by utilizing the Warehouse Inventory Tracking System (WITS)  â€¢	Assists with special projects, as needed"
28,,"Only candidates who are permanent in the Principal Administrative Associate title or those who are reachable on the current Principal Administrative Associate list (Exam #5039) or Promotional list (Exam #5537) may apply. Please include a copy of your Notice of Result card or indicate if you are already permanent in the title. Failure to do so will result in your disqualification.  The NYC Department of Design and Construction, Division of Infrastructure, is seeking an Administrative Assistant. The selected candidate will assist the Office Manager in the following: provide administrative and clerical support to the Borough Director; enter data into Mosaics and monitor NYC Streets for project initiation and contractor permit requests. S/he will create and maintain other unitsâ€™ databases such as: NYCDOT Side Walks, NYCDOT Virtual Fire Room and CW SiteList; respond to homeowner complaints; assist with permit and project searches to respond to DDC Law unit FOILS, Litigations, and Comptroller Requests; solve issues and enter data into City Time for field employees; and maintain internal organization charts. In addition, the selected candidate will serve as Back-up to the Citywide Coordinator and liaise between DDC and Contractors, Subcontractors, Trucking Services, ACCO's office, Program Administration, Field Engineers and City Agencies to address requests and inquiries pertaining to service approvals."
29,,"Family Court Legal Services (FCLS) is responsible for representing Childrenâ€™s Services in child neglect and abuse cases, permanency hearings, and other child welfare proceedings in the New York City Family Courts. FCLS Attorneys work collaboratively with caseworkers and other child welfare stakeholders to further the agencyâ€™s mission of helping children and families achieve safety, permanency and well-being. Specific duties will include:   â€¢ Meet with Child Protective caseworkers to identify and analyze complex legal problems and issues.  â€¢ Draft legal documents, including pleadings, motions and memoranda of law and fact by following generally acceptable legal procedures, forms and techniques in order to meet agency needs, goals and objectives.   â€¢ Represent the agency in Family Court on all aspects of child protective proceedings and other judicial proceedings including juvenile delinquency and Close to Home matters.   â€¢ Interview witnesses and other relevant parties to the litigation to determine admissibility of various types of evidence.   â€¢ Prepare and maintain case files and documents in advance of court appearances.   â€¢ Conduct legal research and regularly review relevant case laws and regulations to support legal opinions.   â€¢ Counsel Child Protective caseworkers and agency case planners on issues relating to permanency and well-being of children in foster care.   â€¢ Assist in the overall supervision of the Unit, including substituting for other legal staff in emergency situations and reviewing the work of the Unit.   â€¢ Assist in monitoring work flow, ensuring compliance with deadlines and preparation of reports and summaries.   â€¢ May train and oversee the work of Attorney Level Is and Attorney Internes, including during appearances in Family Court and Supreme Court.   â€¢ Perform complex legal research on issues that arise on cases and are relevant to the Unit"
30,,"The NYC Department of Environmental Protection (DEP) enriches the environment and protects public health for all New Yorkers by providing 1.1 billion gallons of high quality drinking water, managing wastewater and stormwater, and reducing air, noise, and hazardous materials pollution.  DEP is the largest combined municipal water and wastewater utility in the country, with nearly 6,000 employees. DEP's water supply system is comprised of 19 reservoirs and 3 controlled lakes throughout the systemâ€™s 2,000 square mile watershed that extends 125 miles north and west of the City. The Bureau of Engineering Design & Construction (BEDC) currently has $10B of active construction contracts and another $15B of planning and design contracts under the responsibility and management of the bureau. The projects BEDC implement allow DEP as a whole to continue to operate and maintain an exemplary water supply system.  The Environmental Health & Safety (EHS) groupâ€™s responsibility is to support, monitor and ensure that BEDC is in compliance with federal, state and local EHS laws and regulations. In addition, BEDCâ€™s goal is to run the safest, most environmentally compliant capital construction program in the United States; zero accidents, zero harm to people, and zero harm to the environment. The EHS group provides EHS support to the life cycle of projects including, but not limited to; reviewing designs and participating in the facility planning, and design workshops; providing comments on the EHS contract requirements; reviewing and making recommendations for EHS awards; and providing EHS Regional Manager support from preconstruction through turnover. In addition, the EHS group regularly updates their EHS program for continuous improvement.  The Bureau of Engineering Design & Construction seeks to hire an Associate Project Manager III for the Environmental Health & Safety (EHS) Division located in our Lefrak office in Queens, NY. Under administrative direction of the BEDC Chief of EHS Field Management, the EHS Regional Manager (RM) will be the primary BEDC contact for all EHS needs during the life cycle of the capital project. The selected candidate will oversee the EHS performance for a capital construction portfolio of design and construction projects in excess of a billion dollars, as well as management of field personnel within various regions. Regions are broken down by East and West of Hudson, and NYC projects; the number of projects in each portfolio depends on the size, dollar amount, and complexity of the capital project, as well as the level of EHS hazards. The selected candidate will monitor project compliance with EHS regulations, BEDC EHS Standards and Standard Operating Procedures (SOPs), DEP EHS policies and procedures; organize EHS project meetings, and make recommendations for new or improved EHS programs and create additions to current EHS specifications and contract documents. The selected candidate will be responsible for assisting with all aspects of EHS compliance and implementation from design through construction completion, and manage one or more in-house EHS field staff. They will support the Accountable Manager (AM) and the BEDC project staff in all areas of EHS. Additional duties include but are not limited to; reviewing designs and contract specifications for EHS compliance and potential issues; attending pre-bid, pre-award and pre-construction meetings; managing EHS during construction, i.e. providing EHS support to BEDC construction managers and support staff, reviewing Environmental Health & Safety Plans (EHASPs), Emergency Control Procedure (ECP), Remediation Plans, EHS personnel qualifications, providing training on BEDC EHS Standards and SOPs; monitoring EHS compliance of the consultant construction managers and contractor EHS Staff; assisting in incident investigations and reviewing reports; reviewing audit data to identify trends and deficiencies; attending project meetings and EHS meetings and reporting on EHS issues; participating in EHS contractor and consultant evaluations.  ****Only applicants who are permanent Civil Service Associate Project Manager will be considered for this position. ****"
31,,"About the Office: NYC Office of The Mayor Office of Citywide Event Coordination And Management and Street Activity Permit Office Organizational Profile:  The Mayorâ€™s Office of Citywide Event Coordination and Management (CECM) is tasked with coordination and management of all event permitting activity in New York City. CECM gathers and disseminates information about upcoming and ongoing public events, including gatherings in City parks, processions, parades, street fairs, block parties, commercial and promotional events, street events, and displays and filming of motion pictures and television. CECM ensures informed decision-making by the various permitting agencies, as well as compliance by permit applicants. CECM also acts as an internal and external resource to the event community on overall event coordination, permitting, and management. CECM works to enhance communication among various agencies involved in the issuance of permits.  About the Role: The Technical Architect/ Senior Programmer Analyst reports directly to the Database Policy and Business Manager.  With latitude for independent initiative and judgment, responsibilities include, but are not limited to:  â€¢	Work with the project manager to design, develop, test and deploy new applications that will be used on the CECMS suite of applications; â€¢	Development on CECMS will be .NET, with MS SQLâ€™2008 Database; â€¢	Create innovative, cutting edge mobile software solutions following OO best practices from design through implementation; â€¢	Review output and provide technical guidance to other developers; â€¢	Architect a revised database to support the enhanced functionality; â€¢	Create new stored procedures for the revised database."
32,,"The New York City Department of Environmental Protection (DEP) protects public health and the environment by supplying clean drinking water, collecting and treating wastewater, and reducing air, noise, and hazardous materials pollution. DEP is the largest combined municipal water and wastewater utility in the country, with nearly 6,000 employees. We deliver 1.1 billion gallons of high quality drinking water per day to 8.5 million New York City residents and more than 1 million people in Upstate New York, and we collect and treat an average of 1.3 billion gallons of wastewater per day.   The New York City Department of Environmental Protectionâ€™s (DEP) Bureau of Water and Sewer Operations, Environmental Health and Safety (EHS) Division is seeking an experienced Health and Safety Specialist. Working under minimal direction, the selected candidate will be responsible for conducting health and safety assessments at bureau facilities to maintain full regulatory compliance in accordance with federal, state and local environmental health and safety laws and regulations and Agency EHS polices. Responsibilities also involve evaluating the effectiveness of EHS programs, recommending and implementing improvements of existing and new EHS programs bureau-wide. Duties will include, planning and conducting job hazard analysis for various tasks; conducting incident investigations and preparing complete and accurate reports; providing professional industrial hygiene and technical assistance to bureau personnel and management; developing and reviewing health and safety plans, standard operating procedures and guidelines for extremely hazardous tasks; responding to health and safety issues and emergencies bureau-wide. The position will require administrative and field work, and interaction with field personnel, inter and intra-agency personnel, and regulatory agencies."
33,,"The NYC Department of Design and Construction, Engineering Audit Office (EAO), seeks two Executive Project Audit Engineers. The selected candidates will be responsible for overseeing the audits performed by the EAO Senior Auditors and Auditors, as well as performing audits for exceptionally complex, high-priority, and expedited projects in accordance with the NYC Comptrollerâ€™s Directives 2, 6, and 7, NYC Standard Construction Contract, PPB Rules, and DDC Contracts. The Executive Project Audit Engineers also perform field inspections to verify the construction work is of good quality and has progressed sufficiently to warrant payment request. The audits will cover both payment requisitions, validity, and cost reasonableness of change order/overruns requests. The candidates will also track and report on the work progress of Auditors and Senior Auditors; advise and provide resolution to audit-related matters; assign payment requisitions to EAO Senior Auditors and Auditors; and re-assign requisitions, when necessary."
34,,"The Board is seeking an experienced, highly motivated, and innovative manager to develop and lead the agencyâ€™s personnel, budgetary, and procurement operations. The Director of Human Resources and Administration will report directly to the General Counselâ€™s Office and the Executive Team to ensure the agency has sound personnel and financial practices in place to support a healthy workplace and the responsible administration of government resources.  Responsibilities will include: â€¢	Supervising a staff of 1-2 people, including the Office Manager; â€¢	Oversight of daily HR operations, including advising employees on agency and city policies and benefits; â€¢	Acting as the primary resource for the Executive Team to navigate Human Resource processes including recruitment, managing/operating within the Civil Service System, employee skill development, employee separation, discipline, and benefit provision; â€¢	Serving as Agency Chief Contracting Officer (ACCO) and lead agency procurement efforts; â€¢	Managing annual agency budget and liaise with NYC Office of Management and Budget (OMB); â€¢	Coordinating with NYC Department of Citywide Administrative Services (DCAS) and NYC Department of Correction (DOC) as necessary to address physical workspace issues; â€¢	Managing the employee recruitment process, including screening applications and working with hiring managers to identify, select, and retain diverse staff and ensure equitable hiring and retention practices; â€¢	Managing employee onboarding processes, including new employee orientations; â€¢	Managing and directing employee relations activities, including conferring with employees on matters concerning personnel problems, procedures, and grievances, addressing staff conflict, and making systemic agency recommendations to improve employee relations; â€¢	Managing agency timekeeping and payroll functions; â€¢	Developing and implementing systems for tracking employee attendance, including leave and lateness; â€¢	Maintaining compliance with collective bargaining units and their representatives; â€¢	Coordinating the development of Tasks and Standards for all employees, and developing and managing an annual performance evaluation process, ensuring regular conferences between supervisors and staff; â€¢	Managing agency EEO compliance and complaint investigations (for which incumbent will report directly to the Executive Director); â€¢	Leading and/or coordinating with DCAS to provide employee training related to critical personnel matters, including training on EEO issues, supervisory training, and training on agency and city policies; â€¢	Conducting employee exit interviews and advising on employee separation matters; â€¢	On a continual basis, analyzing existing policies and processes to determine whether desired outcomes are being achieved and make recommendations as necessary to improve upon existing practices."
35,,"**OPEN TO PERMANENT PRINCIPAL ADMINISTRATIVE ASSOCIATES ONLY. YOU MUST CLEARLY STATE YOUR CIVIL SERVICE STATUS ON YOUR RESUME OR COVER LETTER. FAILURE TO DO SO WILL RESULT IN YOUR DISQUALIFICATION.  The mission of the Bureau of Environmental Disease and Injury Prevention is to prevent environmental disease and injury in homes, communities and the workplace, and to protect health by promoting healthy environments and health equity.  The Bureau is comprised of four Programs - Healthy Homes, Environmental Health Assessment and Communications, Poison Control Center, and Injury and Violence Prevention.   DUTIES WILL INCLUDE BUT NOT BE LIMITED TO:   --Supervise and train assigned clerical staff in new job procedures.   --Perform detailed work preparing documentation for owners/agents who are issued lead violations.   --Provide owners/agents with the necessary information needed to comply with Commissioner's Order to abate/remediate.   --Prepare COTAs for unsafe work practices and dust violations.   --Enters unsafe work practice code inspections into internal database.  --Review work of staff and take corrective action to maintain proficiency.   --Process incoming complaints of lead related construction activities and peeling paint.   --Respond to calls from public or other agencies.  --Process referrals for abatement and clean-up.   --Perform detailed work preparing Commissioner's Orders to abate nuisance letters to be mailed to landlords/owners/agents.   --Maintain all patient/medical documents in a confidential manner."
36,,"The New York City Taxi and Limousine Commission (TLC) is the nationâ€™s largest for-hire transportation agency, licensing and regulating the Cityâ€™s yellow and green taxicabs, for-hire vehicles (including apps like Uber, Lyft, Via and Juno), commuter vans, and luxury limousines. TLC develops and enforces rules to promote safety, transparency, as well as consumer and driver protection for a vital mode of transport in New York City. The vehicles, businesses, and drivers licensed and regulated by the agency move over one million people per day. With the introduction of new apps and technologies, TLC is on the front lines of a changing mobility landscape in New York City. TLC collaborates with renowned universities on data analysis, builds partnerships with leaders around the globe on the future of transportation, and works to streamline agency operations to meet the demands of a changing industry. TLC is a committed partner of the Mayorâ€™s Vision Zero initiative to end traffic fatalities and a leader in citywide initiatives, including Open Data and the growth of the Cityâ€™s wheelchair accessible taxi and for-hire vehicle fleets.  General Statement of Duties and Responsibilities  The TLC Information Technology department is looking for a Quality Analystâ€“ Digital Solutions who will help the agency achieve its goals through error free quality delivery and use exceptional quality assurance skill and confidence to facilitate cross functional project teams and communicate testing strategy clearly with agency stakeholders. TLCâ€™s IT Divisions is a team of 30 talented IT professionals with a big job.  They:  â€¢	Develop custom software for internal agency use and public use, such as license application web portals and regulatory compliance tracking systems. â€¢	Collect, manage and help analyze some of the most important and fascinating transportation datasets in the city.  â€¢	Partner with TLC policymakers in the development in new data-driven initiatives. â€¢	Provide day-to-day IT support to a diverse staff of 600 in five facilities, including a 24/7 field enforcement operation, a vehicle inspection facility, a call center, corporate staff (legal, policy, programs, finance, administration, HR) and busy licensing and prosecution teams. â€¢	Set up and maintain network infrastructure in TLCâ€™s facilities, developing and implementing new features to increase usability, security, etc. â€¢	Oversee external technology vendors customizing a wide variety of systems/equipment (e.g., a vehicle inspection system, hand-held summons issuing devices, car camera systems) for TLC use, including carrying out integration between these systems and TLCâ€™s systems.  â€¢	Advise other TLC divisions on technology-related projects and policies.  Candidate will be a self-starter with sharp eye for details and ability to work in a fast paced and ever-changing environment. Candidate will be responsible for reviewing requirements, defining and executing test plans to ensure that end product/delivery meets requirements specification through all stages of software development life cycle.  Responsibilities include:  â€¢	Review business requirements, specifications, technical design documents and convert to test cases and test plans â€¢	Estimate, prioritize, plan and coordinate cross functional testing activities  â€¢	Create detailed, comprehensive and structured test plans, test cases, requirements traceability metrics, data mapping â€¢	Design, develop and execute test scripts using testing tools on both desktop and mobile devices â€¢	Identify, document and track defects â€¢	Perform integration and regression testing  â€¢	Track quality assurance metrics and work with tech staff to improve results â€¢	Stay up to date with new testing tools and strategies â€¢	Implements quality assurance and best practices â€¢	Ensures projects adhere to agreed-upon functional specifications and applicable quality assurance standards â€¢	Coordinate user acceptance testing (UAT) with all divisional agency stakeholders â€¢	Strong experience with cross browser and cross platform testing (PC, mobile and tablet) â€¢	Participate in root cause analysis of defects â€¢	Escalate issues when required  MUST BE CURRENTLY SERVING AS A COMPUTER ASSOCIATE (STWR) TO APPLY."
37,,"The Mayorâ€™s Office of Media and Entertainment (MOME) is comprised of several divisions: The Office of Film, Theatre, and Broadcasting, NYC Media and the Office of Nightlife. The Office of Film, Theatre and Broadcasting serves as a one-stop shop for the entertainment industry and promotes New York City as a thriving center of creativity, issuing permits for productions filming on public property, and facilitating production throughout the five boroughs. NYC Media is the Cityâ€™s official broadcast network and media production group, with programming that informs, educates, and entertains New Yorkers about the City's diverse people, neighborhoods, services, attractions, and activities. The Office of Nightlife will work with stakeholders to identify challenges and develop collaborative solutions to drive strategic growth in the sector, balancing the needs of the community and the businesses and patrons that comprise the nighttime economy.     The Chief of Staff will report directly to MOMEâ€™s Commissioner. Responsibilities include, but are not limited to: â€¢	Assist with team management and provide high level administrative, policy and research support to the Commissioner; â€¢	Disseminate necessary information and communicate ideas on behalf of the Commissioner; â€¢	Brief Commissioner periodically on work progress and key projects; â€¢	Make recommendations to the Commissioner on policies and procedures; â€¢	Manage office-wide communications; â€¢	Work with staff to develop and implement strategic plans to improve programs, and review and update as required; â€¢	Act as a proxy in senior level and external meetings as needed; â€¢	Attend director level meetings and follow up on action items to ensure completion; â€¢	Coordinate and lead meetings; â€¢	Oversee executive-level projects that at times require cross-functional collaboration among internal agency departments and with other agencies; â€¢	Collaborate with Sr. Executive Director of Program and Policy to streamline tracking and reporting of program metrics; â€¢	Monitor and coordinate project timelines, personnel resources and other sensitive or confidential tasks as may be assigned; â€¢	Review confidential personnel matters, city travel, new needs proposals, etc; â€¢	Draft, compile and edit briefing materials, memos, and policy specific research; â€¢	Manage agency relationships and coordinate interagency actions, ensuring a consistent message internally and externally; â€¢	Correspond with elected and appointed officials, community organizations, constituents, and other members of the public on behalf of the Commissioner; â€¢	Support the establishment and maintenance of relevant electronic and paper files, including project, program and communication files; â€¢	Assist in miscellaneous stakeholder outreach, special projects, and events other duties, as assigned.  The positionâ€™s responsibilities include commitment to and compliance with the Cityâ€™s EEO policy."
